year,Italy,Spain,Germany,France,Switzerland,Slovenia,Belgium,United Kingdom,Ireland,Netherlands,Croatia,Serbia,Portugal,Austria,Greece
1900,12.998,13.629416666666666,8.452083333333333,12.987333333333334,7.3051666666666675,10.140833333333333,9.787333333333335,8.550416666666667,9.327166666666667,9.727583333333333,11.826916666666667,10.513083333333334,14.71175,6.670249999999999,15.107583333333332
1901,12.205583333333331,13.087416666666668,7.6810833333333335,12.328416666666667,6.294250000000001,9.04025,9.049583333333333,8.379166666666666,9.119166666666667,9.17025,10.83475,9.714250000000002,14.351333333333335,5.6565,14.829416666666667
1902,12.516750000000002,13.32475,7.256666666666667,12.391916666666667,6.640666666666667,9.113750000000001,8.818833333333334,8.0015,9.110166666666666,8.6925,10.875333333333332,9.512916666666667,14.433333333333332,5.577000000000001,14.699
1903,12.47375,13.282083333333333,8.402416666666667,12.592333333333334,6.830666666666667,9.65225,9.560166666666666,8.329333333333333,9.150416666666667,9.680166666666667,11.364333333333335,10.180250000000001,14.535666666666666,6.240083333333334,14.599166666666667
1904,12.932166666666665,13.843833333333334,8.400333333333334,12.813250000000002,7.412916666666667,10.059000000000001,9.529,8.263833333333332,9.14775,9.517333333333333,11.640083333333335,10.014583333333333,14.874916666666666,6.534583333333333,14.572333333333333
1905,12.243083333333333,13.14925,8.027416666666666,12.419666666666666,6.585166666666667,9.217083333333333,9.176,8.390416666666667,9.32375,9.285333333333332,10.95875,9.72725,14.212166666666667,5.9875,14.397166666666669
1906,12.330166666666665,13.3805,8.354000000000001,12.714500000000001,6.90975,9.29425,9.570166666666667,8.510833333333334,9.30325,9.675333333333333,10.936833333333333,9.753416666666666,14.622,6.026166666666666,14.426499999999999
1907,12.420833333333334,13.30475,7.852583333333333,12.508249999999999,6.818333333333334,9.362833333333334,9.125,8.09325,8.975666666666667,9.107833333333334,11.052,9.590833333333334,14.396749999999999,5.959,14.142666666666669
1908,12.338499999999998,13.626416666666666,7.521333333333334,12.448416666666667,6.457166666666667,8.837833333333334,8.871416666666667,8.576416666666667,9.627083333333333,8.989833333333333,10.531166666666666,9.411583333333333,14.771083333333335,5.542833333333334,14.341916666666668
1909,12.146,13.04875,7.336833333333334,12.10725,6.179166666666667,9.033,8.653833333333333,7.89525,8.929333333333334,8.68675,10.825083333333334,9.724916666666667,14.310666666666664,5.450666666666667,14.89025
1910,12.374416666666667,13.073500000000001,8.418750000000001,12.492916666666668,6.725333333333334,9.737,9.599583333333333,8.39875,9.213416666666665,9.81575,11.5045,10.3465,14.176499999999999,6.249916666666667,14.731
1911,12.903833333333333,13.409999999999998,9.026,13.162916666666666,7.54,10.006,10.255416666666667,9.068916666666667,9.72125,10.313416666666667,11.573916666666667,10.112666666666668,14.369333333333335,6.732333333333333,14.43425
1912,12.214416666666667,13.221333333333334,7.837416666666666,12.540333333333335,6.47825,9.056833333333334,9.468833333333333,8.44125,9.27275,9.53775,10.6545,9.269833333333333,14.240666666666668,5.602916666666666,14.422916666666666
1913,12.662583333333332,13.556583333333334,8.50675,12.9135,7.005,9.460833333333333,9.894499999999999,8.82525,9.548416666666666,9.98925,11.072833333333334,9.598333333333334,14.43,6.134333333333333,14.4015
1914,12.3405,13.344916666666668,8.486916666666668,12.689749999999998,6.7395,8.984333333333334,9.716916666666666,8.97575,9.721916666666667,10.044833333333333,10.554333333333334,9.132583333333335,14.4285,5.851,14.28275
1915,12.427583333333333,13.489166666666668,7.875333333333334,12.618166666666667,6.633499999999999,9.383000000000001,9.267333333333333,8.1005,9.047500000000001,9.18225,11.120833333333335,9.981166666666667,14.658083333333332,5.96075,15.023833333333334
1916,13.011750000000001,13.346416666666668,8.426916666666667,12.679,7.021166666666667,10.289166666666667,9.59875,8.391833333333333,9.379833333333332,9.566666666666666,12.062666666666665,10.911583333333333,14.437333333333333,6.750916666666668,15.759750000000002
1917,12.292916666666665,12.801416666666666,7.4995,11.916833333333335,6.1697500000000005,9.187083333333334,8.5255,7.90825,8.759583333333333,8.716416666666666,10.943083333333334,9.93425,13.949333333333334,5.668333333333333,15.011333333333333
1918,12.399833333333333,13.215666666666666,8.493583333333333,12.641416666666666,6.954999999999999,9.604750000000001,9.720666666666666,8.631333333333332,9.574250000000001,9.746666666666668,11.281666666666666,10.273583333333333,14.592416666666667,6.4245833333333335,15.011833333333334
1919,12.169583333333334,13.167250000000001,7.300750000000001,12.254666666666667,6.350583333333334,9.020166666666666,8.617666666666667,7.762166666666666,8.806916666666668,8.520916666666666,10.78,9.584666666666667,14.602833333333335,5.49875,14.681333333333333
1920,13.341416666666667,13.887916666666667,8.615666666666668,13.018333333333333,7.575583333333333,10.273166666666667,9.8345,8.7395,9.630666666666666,9.86925,11.81575,10.038499999999999,14.899333333333333,6.8308333333333335,14.447583333333334
1921,13.044916666666666,13.846666666666666,9.014666666666667,13.387166666666667,7.849833333333334,10.123166666666668,10.496166666666666,9.44375,10.517000000000001,10.394250000000001,11.634583333333333,10.068333333333333,15.0145,6.868916666666667,14.479416666666667
1922,12.585916666666668,13.367083333333333,7.175916666666667,12.370833333333335,6.433166666666668,9.139416666666667,8.7045,7.975416666666667,9.049916666666666,8.636666666666667,10.847166666666666,9.612,14.453666666666665,5.520500000000001,15.1085
1923,13.003,13.449416666666666,7.980916666666666,12.830666666666666,7.267416666666667,10.073166666666667,9.39275,8.193166666666666,9.250166666666667,9.163833333333335,11.899166666666666,10.90675,14.4625,6.455583333333334,15.40625
1924,12.761249999999999,13.712916666666667,7.520499999999999,12.597666666666667,6.6570833333333335,9.26375,9.068166666666666,8.43975,9.42175,9.016166666666665,10.892000000000001,9.489583333333332,14.616083333333334,5.586666666666666,14.922916666666667
1925,12.570083333333331,12.930416666666666,8.289166666666667,12.460333333333333,6.784416666666668,9.59225,9.37225,8.337583333333333,9.185083333333333,9.569916666666666,11.332499999999998,10.137583333333334,14.089999999999998,6.0735833333333344,15.0105
1926,13.156500000000001,14.246416666666667,8.7205,13.182833333333333,7.456666666666667,10.266,9.945500000000001,8.839916666666667,9.8275,9.997166666666667,12.005166666666668,10.66975,15.425333333333333,6.823250000000001,15.433333333333335
1927,13.439333333333332,13.788333333333334,8.080166666666667,12.819749999999999,7.2435833333333335,10.209,9.410333333333332,8.303333333333333,9.414833333333334,9.371833333333333,12.078833333333334,10.901416666666668,14.62975,6.50075,15.77075
1928,13.221166666666667,13.977666666666666,8.371583333333334,13.2965,7.549083333333333,10.061250000000001,9.882,8.596416666666666,9.619416666666668,9.721166666666667,11.771666666666667,10.18475,14.755333333333333,6.663833333333333,15.002583333333334
1929,12.424166666666666,13.929416666666667,7.406583333333334,12.657916666666667,6.653833333333334,9.039416666666666,9.00175,8.284166666666666,9.475333333333333,8.792416666666668,10.652666666666667,9.107333333333333,15.299833333333334,5.5776666666666666,14.347583333333333
1930,13.224166666666667,13.900666666666666,8.78275,13.168750000000001,7.502666666666666,10.38925,10.0985,8.5615,9.318583333333333,10.113666666666667,12.143,10.823416666666667,14.85225,6.809333333333334,15.248916666666668
1931,12.718416666666664,13.678666666666667,7.59575,12.531583333333332,6.395416666666667,9.340416666666666,9.041416666666667,8.2885,9.53625,9.192583333333333,11.135916666666667,9.84625,14.614416666666665,5.628916666666666,14.902833333333334
1932,12.669416666666665,13.168750000000001,8.353166666666667,12.698749999999999,6.840583333333334,9.479916666666666,9.627,8.6895,9.757083333333332,9.8165,11.081916666666666,9.63725,14.269916666666667,6.256083333333334,14.938
1933,12.39925,13.650666666666666,7.70375,12.687,6.501416666666667,8.8365,9.311416666666666,9.115583333333333,10.042250000000001,9.46625,10.521583333333334,8.9825,14.711083333333333,5.328916666666667,14.145250000000003
1934,13.323416666666667,13.513416666666666,9.569666666666667,13.13275,7.794333333333334,10.681416666666665,10.445833333333333,9.165000000000001,10.001083333333334,10.614416666666665,12.354583333333332,11.063249999999998,14.438333333333333,7.414583333333333,15.552666666666667
1935,12.827583333333331,13.45525,8.471666666666668,12.79725,6.947666666666667,9.631666666666666,9.847833333333332,8.77925,9.670333333333334,9.979583333333334,11.3815,10.14875,14.449916666666667,6.1554166666666665,15.305833333333334
1936,12.973500000000001,13.412666666666667,8.476416666666667,12.892666666666665,7.1890833333333335,10.170583333333333,9.67,8.60025,9.648166666666667,9.804333333333334,11.90375,10.715166666666667,14.435166666666667,6.50125,15.266583333333335
1937,13.184916666666666,14.124166666666667,8.711916666666667,13.295166666666667,7.3901666666666666,10.014333333333333,9.965666666666666,8.670583333333333,9.539083333333332,9.953333333333333,11.848916666666668,10.715333333333334,14.908166666666666,6.587833333333333,15.582833333333333
1938,12.69375,13.854583333333332,8.808333333333334,12.948666666666668,7.144333333333333,9.691,9.956416666666668,9.184583333333334,10.011750000000001,10.169916666666667,11.321166666666665,10.034166666666666,15.053749999999999,6.394583333333333,14.88725
1939,12.696083333333334,13.409666666666666,8.452166666666667,12.737666666666668,6.779333333333334,9.843833333333334,9.810083333333333,8.848333333333333,9.874916666666666,9.957500000000001,11.648166666666667,10.536583333333335,14.553333333333335,6.231833333333333,15.305166666666667
1940,11.888416666666666,13.665416666666667,6.625083333333333,12.390833333333333,5.984333333333333,8.197916666666666,8.521166666666668,8.38625,9.681333333333333,8.415083333333333,9.799666666666667,8.5015,14.862416666666666,4.7235000000000005,14.1425
1941,12.045666666666667,13.257916666666667,7.139583333333333,12.32625,6.17175,8.725000000000001,8.9755,8.276583333333333,9.313833333333333,8.892166666666666,10.449666666666667,9.199083333333332,14.537666666666667,5.272833333333334,14.60825
1942,12.798083333333333,13.767083333333334,7.238499999999999,12.685166666666667,6.802499999999999,9.246083333333333,8.922083333333333,8.3165,9.483416666666667,8.698666666666666,10.870416666666666,9.3915,14.764416666666667,5.67125,14.548666666666668
1943,13.693916666666667,14.208083333333335,8.9215,13.522916666666667,7.919583333333333,10.351833333333333,10.228083333333332,9.219083333333334,10.05675,10.211583333333333,12.066916666666666,10.564666666666666,15.181,6.9055,15.075916666666666
1944,12.550083333333333,13.504083333333334,8.317583333333333,12.800666666666666,6.7363333333333335,9.432583333333334,9.548,8.762416666666667,9.798,9.761583333333332,11.169916666666666,9.8175,14.8085,5.965166666666666,14.734833333333333
1945,13.35225,14.528416666666667,8.9005,13.397916666666667,7.666250000000001,10.2005,10.365333333333334,9.439,10.444083333333333,10.389416666666667,11.883249999999999,10.202333333333334,15.597166666666666,6.728000000000001,15.066249999999998
1946,13.3225,13.406833333333333,8.383333333333335,12.8345,7.356000000000001,10.398416666666668,9.543166666666666,8.686166666666667,9.598,9.561,12.124083333333333,10.873083333333334,14.509083333333335,6.827416666666667,15.616000000000001
1947,13.600916666666668,14.417083333333332,8.458416666666666,13.631666666666668,7.93175,10.190583333333334,10.122166666666667,8.69175,9.50275,9.782,11.941333333333333,10.580333333333334,15.23625,6.770166666666667,15.6365
